UniqueID,DateOfBite,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
221,5/27/2015,OTHER,NA,U,FALSE,Brooklyn,11226
222,5/28/2015,PIT BULL,NA,U,FALSE,Brooklyn,11237
223,5/24/2015,PIT BULL,NA,U,FALSE,Brooklyn,11221
224,5/23/2015,AMERICAN PIT BULL,6,M,TRUE,Brooklyn,11205
225,5/28/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11213
226,5/28/2015,AMERICAN PIT BULL,3,M,FALSE,Brooklyn,11236
227,5/26/2015,SAINT BERNARD,NA,U,FALSE,Brooklyn,11214
228,5/28/2015,CHIHUAHUA,NA,U,FALSE,Brooklyn,11208
229,5/30/2015,WEST HIGHLAND,4,M,FALSE,Brooklyn,11224
230,5/30/2015,WEST HIGHLAND,4,M,FALSE,Brooklyn,11224
231,5/31/2015,CHIHUAHUA,1,M,FALSE,Brooklyn,11207
232,5/30/2015,COLLIE,NA,U,FALSE,Brooklyn,11211
233,5/29/2015,LABRADOR,8,F,TRUE,Brooklyn,11229
234,5/30/2015,OTHER,NA,U,FALSE,Brooklyn,11207
235,5/28/2015,OTHER,NA,U,FALSE,Brooklyn,11232
236,6/1/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11207
237,6/2/2015,CHOW CHOW,1,M,FALSE,Brooklyn,11233
238,6/2/2015,DOBERMAN,7,M,TRUE,Brooklyn,11228
239,6/1/2015,YORKSHIRE TERRIER,2,M,FALSE,Brooklyn,11217
240,6/3/2015,SHORKY,8,M,TRUE,Brooklyn,11238
241,5/31/2015,HAVANESE,4,M,TRUE,Brooklyn,11236
242,5/27/2015,BLUE HEELER,9,M,TRUE,Brooklyn,11237
243,6/4/2015,PIT BULL,3,F,TRUE,Brooklyn,11226
244,6/4/2015,AMERICAN PIT BULL,4,M,FALSE,Brooklyn,11226
245,6/4/2015,YORKSHIRE TERRIER,2,M,TRUE,Brooklyn,11214
246,6/5/2015,OTHER,NA,U,FALSE,Brooklyn,11232
247,6/6/2015,CHOW CHOW,4,M,FALSE,Brooklyn,11234
248,6/5/2015,LHASA APSO,5,M,TRUE,Brooklyn,11231
249,6/6/2015,POODLE,3,M,TRUE,Brooklyn,11234
250,6/7/2015,POINTER,8,F,TRUE,Brooklyn,11231
251,5/30/2015,SCHNOODLE,NA,U,FALSE,Brooklyn,11211
252,5/30/2015,CHOW CHOW,2,M,FALSE,Brooklyn,11208
253,6/5/2015,YORKSHIRE TERRIER,NA,U,FALSE,Brooklyn,11221
254,6/10/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11237
255,6/9/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11213
256,6/10/2015,OTHER,5,M,FALSE,Brooklyn,11223
257,6/10/2015,CANE,2,M,FALSE,Brooklyn,11224
258,5/7/2015,OTHER,6,F,FALSE,Brooklyn,11226
259,6/9/2015,AMERICAN PIT BULL,2,F,FALSE,Brooklyn,11208
260,6/9/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11224
261,6/12/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11233
262,6/12/2015,MALTESE,NA,U,FALSE,Brooklyn,11235
263,6/12/2015,OTHER,NA,U,FALSE,Brooklyn,11222
264,6/14/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11208
265,6/12/2015,OTHER,NA,U,FALSE,Brooklyn,11220
266,6/12/2015,JACK RUSS,2,M,TRUE,Brooklyn,11235
267,6/12/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11216
268,6/16/2015,DOBERMAN,1,F,FALSE,Brooklyn,11215
269,6/14/2015,AMERICAN PIT BULL,5,M,TRUE,Brooklyn,11230
270,6/19/2015,AMERICAN STAFF,7,F,TRUE,Brooklyn,11233
271,6/18/2015,BOSTON TERRIER,NA,U,FALSE,Brooklyn,11228
272,6/7/2015,CHIHUAHUA,3,M,TRUE,Brooklyn,11217
273,6/22/2015,GOLDEN RETREIVER,12,F,TRUE,Brooklyn,11229
274,6/22/2015,MALTESE,1,M,FALSE,Brooklyn,11217
275,6/19/2015,PIT BULL,5,M,TRUE,Brooklyn,11211
276,6/19/2015,PIT BULL,NA,U,FALSE,Brooklyn,11229
277,6/18/2015,AMERICAN PIT BULL,2,M,TRUE,Brooklyn,11235
278,6/22/2015,MALTESE,7,F,TRUE,Brooklyn,11220
279,6/23/2015,AMERICAN PIT BULL,1,M,FALSE,Brooklyn,11233
280,6/24/2015,OTHER,NA,U,FALSE,Brooklyn,11226
281,6/24/2015,AMERICAN PIT BULL,NA,M,FALSE,Brooklyn,11230
282,6/26/2015,OTHER,NA,U,FALSE,Brooklyn,11220
283,6/24/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11224
284,6/28/2015,AMERICAN PIT BULL,5,M,FALSE,Brooklyn,11203
285,6/23/2015,OTHER,NA,U,FALSE,Brooklyn,11232
286,6/26/2015,MALTESE,1,M,FALSE,Brooklyn,11236
287,6/24/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11231
288,6/11/2015,OTHER,NA,U,FALSE,Brooklyn,11206
289,6/21/2015,PIT BULL,NA,U,FALSE,Brooklyn,11230
290,6/19/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11229
291,6/21/2015,MIXED BREED,2,M,FALSE,Brooklyn,11213
292,7/1/2015,VIZSLA,4,M,TRUE,Brooklyn,11249
293,6/27/2015,OTHER,NA,U,FALSE,Brooklyn,11220
294,6/29/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11224
295,7/2/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11219
296,3/17/2015,JACK RUSS,10,M,FALSE,Brooklyn,11221
297,7/5/2015,PIT BULL,NA,U,FALSE,Brooklyn,11213
298,4/18/2015,OTHER,NA,U,FALSE,Brooklyn,11221
299,1/11/2015,OTHER,NA,U,FALSE,Brooklyn,11207
300,6/22/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11236
301,7/3/2015,OTHER,NA,U,FALSE,Brooklyn,11234
302,7/3/2015,OTHER,NA,U,FALSE,Brooklyn,11226
303,7/2/2015,CHIHUAHUA,3,M,FALSE,Brooklyn,11212
304,7/3/2015,CHOW CHOW,12,M,FALSE,Brooklyn,11207
305,7/4/2015,YORKSHIRE TERRIER,NA,U,FALSE,Brooklyn,11210
306,7/4/2015,MALTIPOO,6,M,TRUE,Brooklyn,11212
307,6/29/2015,BORDER COLLIE,6,M,TRUE,Brooklyn,11231
308,7/8/2015,ENGLIH BULLDOG,6,M,FALSE,Brooklyn,11235
309,7/7/2015,MIXED BREED,NA,U,FALSE,Brooklyn,11216
310,7/5/2015,Wire Fox Terrier,8,M,TRUE,Brooklyn,11205
311,7/12/2015,AMERICAN PIT BULL,3,F,FALSE,Brooklyn,11216
312,7/14/2015,AMERICAN PIT BULL,2,M,FALSE,Brooklyn,11221
313,7/13/2015,CHIHUAHUA,NA,U,FALSE,Brooklyn,11207
314,7/6/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11236
315,7/6/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11236
316,7/4/2015,JACK RUSS,1,M,TRUE,Brooklyn,11204
317,7/12/2015,OTHER,NA,U,FALSE,Brooklyn,11221
318,7/10/2015,GOLDEN RETREIVER,5,M,TRUE,Brooklyn,11238
319,7/10/2015,GERMAN SHEPHERD,6,M,FALSE,Brooklyn,11231
320,7/6/2015,YORKSHIRE TERRIER,6,F,FALSE,Brooklyn,11208
321,7/1/2015,GERMAN SHEPHERD,6,M,FALSE,Brooklyn,11220
322,7/12/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11235
323,7/12/2015,JACK RUSS,0.8,M,FALSE,Brooklyn,11236
324,7/13/2015,YORKSHIRE TERRIER,NA,U,FALSE,Brooklyn,11209
325,7/9/2015,OTHER,NA,U,FALSE,Brooklyn,11209
326,7/8/2015,POODLE,2,M,FALSE,Brooklyn,11206
327,7/15/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11207
328,7/16/2015,PIT BULL,2,F,FALSE,Brooklyn,11205
329,7/17/2015,BASSET HOUND,3,M,TRUE,Brooklyn,11220
330,7/16/2015,OTHER,NA,U,FALSE,Brooklyn,11229
331,7/16/2015,OTHER,NA,U,FALSE,Brooklyn,11207
332,7/16/2015,SHIBA INU,1,M,TRUE,Brooklyn,11235
333,7/21/2015,SHIH TZU,NA,U,FALSE,Brooklyn,11233
334,7/20/2015,OTHER,NA,U,FALSE,Brooklyn,11209
335,7/21/2015,COCKER SPANIEL,13,M,TRUE,Brooklyn,11230
336,7/22/2015,PIT BULL,0.9,F,FALSE,Brooklyn,11206
337,7/19/2015,PIT BULL,4,M,TRUE,Brooklyn,11222
338,7/19/2015,BULL DOG,2,M,FALSE,Brooklyn,11207
339,7/18/2015,AMERICAN PIT BULL,3,M,FALSE,Brooklyn,11213
340,7/22/2015,LABRADOR,NA,U,FALSE,Brooklyn,11238
341,7/15/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11203
342,7/22/2015,BELGIAN TURVUREN,1,M,FALSE,Brooklyn,11213
343,7/22/2015,PIT BULL,2,M,TRUE,Brooklyn,11237
344,7/22/2015,PIT BULL,2,M,TRUE,Brooklyn,11237
345,7/20/2015,OTHER,NA,U,FALSE,Brooklyn,11236
346,7/20/2015,OTHER,NA,U,FALSE,Brooklyn,11204
347,7/20/2015,OTHER,NA,U,FALSE,Brooklyn,11234
348,7/22/2015,YORKSHIRE TERRIER,6,M,TRUE,Brooklyn,11231
349,7/25/2015,MALTESE,1,M,FALSE,Brooklyn,11218
350,7/24/2015,OTHER,NA,U,FALSE,Brooklyn,11204
351,7/25/2015,SHIBA INU,1,M,TRUE,Brooklyn,11237
352,7/26/2015,OTHER,NA,U,FALSE,Brooklyn,11222
353,7/28/2015,RED-NOSE PIT BULL,9,M,TRUE,Brooklyn,11206
354,7/29/2015,DOBERMAN,9,F,FALSE,Brooklyn,11220
355,7/29/2015,OTHER,2,M,TRUE,Brooklyn,11203
356,7/28/2015,PIT BULL,NA,U,FALSE,Brooklyn,11226
357,7/29/2015,SHIH TZU,5,F,FALSE,Brooklyn,11249
358,7/31/2015,LABRADOR,10,M,TRUE,Brooklyn,11207
359,8/2/2015,BULL DOG,9,M,TRUE,Brooklyn,11217
360,7/30/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11215
361,7/30/2015,OTHER,NA,U,FALSE,Brooklyn,11212
362,8/2/2015,AMERICAN PIT BULL,4,M,FALSE,Brooklyn,11206
363,7/31/2015,AMERICAN PIT BULL,3,M,FALSE,Brooklyn,11233
364,8/1/2015,OTHER,NA,U,FALSE,Brooklyn,11208
