AnimalGender,Borough,LicenseIssuedDate,LicenseExpiredDate,Latitude,Longitude
F,Staten Island,10/06/2014,10/30/2016,40.60787,-74.08991
M,Manhattan,10/07/2014,10/07/2016,40.750742,-73.99653
M,Manhattan,10/07/2014,10/07/2019,40.76842,-73.96045
F,Manhattan,10/07/2014,10/24/2019,40.732509,-73.98935
F,Manhattan,10/07/2014,10/07/2016,40.858704,-73.92853
M,Manhattan,10/07/2014,10/07/2017,40.714754,-74.00721
M,Manhattan,10/08/2014,10/08/2016,40.706019,-74.00858
F,Manhattan,10/08/2014,10/08/2017,40.72596,-73.99834
M,Manhattan,10/08/2014,01/09/2016,40.826181,-73.9371
F,Manhattan,10/08/2014,10/08/2016,40.759511,-73.99019
M,Manhattan,10/09/2014,10/09/2016,40.776099,-73.98285
F,Manhattan,10/09/2014,10/11/2019,40.786387,-73.97709
F,Manhattan,10/09/2014,12/11/2017,40.741012,-74.00012
M,Manhattan,10/09/2014,10/14/2016,40.709677,-74.00365
M,Manhattan,10/09/2014,07/18/2019,40.74618,-73.97759
F,Manhattan,10/09/2014,08/06/2016,40.72596,-73.99834
F,Manhattan,10/09/2014,10/09/2017,40.826181,-73.9371
F,Manhattan,10/09/2014,10/09/2016,40.776099,-73.98285
M,Manhattan,10/09/2014,10/09/2017,40.776099,-73.98285
F,Manhattan,10/09/2014,10/09/2019,40.741012,-74.00012
F,Bronx,10/10/2014,10/10/2016,40.819729,-73.9223
M,Manhattan,10/10/2014,10/10/2016,40.781894,-73.95039
M,Manhattan,10/10/2014,09/30/2017,40.707467,-74.0178
F,Manhattan,10/10/2014,10/10/2016,40.71704,-73.987
F,Manhattan,10/11/2014,10/11/2019,40.781894,-73.95039
F,Manhattan,10/11/2014,10/11/2019,40.798502,-73.96811
M,Manhattan,10/11/2014,10/11/2019,40.776099,-73.98285
F,Manhattan,10/11/2014,07/08/2016,40.798502,-73.96811
F,Manhattan,10/11/2014,10/11/2016,40.776099,-73.98285
M,Manhattan,10/11/2014,09/24/2016,40.776099,-73.98285
F,Manhattan,10/11/2014,08/19/2017,40.802853,-73.95471
M,Manhattan,10/11/2014,10/11/2017,40.776099,-73.98285
F,Manhattan,10/11/2014,10/11/2019,40.707467,-74.0178
F,Manhattan,10/11/2014,10/11/2019,40.781894,-73.95039
M,Staten Island,10/11/2014,10/11/2016,40.60787,-74.08991
M,Bronx,10/11/2014,03/17/2017,40.838745,-73.92234
M,Bronx,10/11/2014,10/11/2019,40.819729,-73.9223
M,Manhattan,10/11/2014,10/11/2016,40.752159,-73.97231
M,Manhattan,10/11/2014,10/11/2019,40.798502,-73.96811
M,Manhattan,10/11/2014,10/11/2016,40.791586,-73.94575
M,Manhattan,10/11/2014,09/30/2016,40.798502,-73.96811
M,Manhattan,10/11/2014,10/11/2017,40.798502,-73.96811
M,Manhattan,10/12/2014,10/27/2017,40.781894,-73.95039
M,Manhattan,10/13/2014,03/27/2019,40.720666,-74.00526
M,Manhattan,10/13/2014,09/24/2016,40.826201,-73.94879
M,Manhattan,10/13/2014,10/13/2017,40.798502,-73.96811
M,Manhattan,10/14/2014,10/14/2019,40.812665,-73.95499
M,Manhattan,10/14/2014,10/14/2017,40.76842,-73.96045
M,Manhattan,10/14/2014,10/14/2019,40.781894,-73.95039
M,Manhattan,10/14/2014,10/14/2016,40.786387,-73.97709
M,Manhattan,10/14/2014,10/17/2016,40.786387,-73.97709
M,Manhattan,10/14/2014,10/14/2017,40.776777,-73.9541
F,Manhattan,10/14/2014,03/23/2016,40.765714,-73.9856
F,Manhattan,10/14/2014,09/24/2017,40.776777,-73.9541
M,Manhattan,10/14/2014,07/11/2016,40.759015,-73.96732
M,Manhattan,10/15/2014,10/15/2017,40.776099,-73.98285
F,Manhattan,10/15/2014,10/02/2019,40.867653,-73.92
F,Manhattan,10/16/2014,10/16/2017,40.734718,-74.00532
F,Staten Island,10/16/2014,10/16/2019,40.529749,-74.21304
M,Staten Island,10/16/2014,10/16/2019,40.606337,-74.14513
F,Staten Island,10/16/2014,12/21/2019,40.543117,-74.17628
F,Staten Island,10/16/2014,10/16/2019,40.529749,-74.21304
F,Staten Island,10/16/2014,09/17/2016,40.606337,-74.14513
F,Manhattan,10/16/2014,10/16/2016,40.765714,-73.9856
F,Manhattan,10/17/2014,10/17/2017,40.802853,-73.95471
M,Manhattan,10/17/2014,10/27/2019,40.71704,-73.987
F,Manhattan,10/17/2014,08/29/2017,40.720666,-74.00526
M,Manhattan,10/17/2014,10/17/2019,40.727093,-73.97864
M,Manhattan,10/17/2014,10/17/2019,40.74618,-73.97759
F,Manhattan,10/17/2014,10/17/2019,40.74618,-73.97759
M,Manhattan,10/17/2014,10/17/2016,40.798502,-73.96811
F,Manhattan,10/18/2014,10/18/2016,40.813385,-73.93616
M,Manhattan,10/18/2014,10/18/2019,40.802395,-73.93359
M,Manhattan,10/18/2014,10/18/2016,40.776099,-73.98285
F,Manhattan,10/18/2014,10/18/2019,40.802395,-73.93359
F,Manhattan,10/18/2014,10/18/2017,40.813385,-73.93616
F,Manhattan,10/19/2014,10/19/2016,40.741012,-74.00012
F,Manhattan,10/20/2014,10/20/2019,40.798502,-73.96811
M,Manhattan,10/20/2014,10/20/2016,40.858704,-73.92853
M,Manhattan,10/20/2014,10/20/2017,40.812665,-73.95499
F,Manhattan,10/20/2014,10/20/2016,40.741012,-74.00012
F,Manhattan,10/20/2014,06/04/2016,40.727093,-73.97864
M,Manhattan,10/21/2014,09/13/2016,40.741012,-74.00012
M,Manhattan,10/21/2014,10/21/2016,40.72596,-73.99834
M,Manhattan,10/22/2014,10/22/2019,40.727093,-73.97864
M,Manhattan,10/22/2014,11/30/2019,40.781894,-73.95039
M,Manhattan,10/22/2014,10/22/2016,40.813385,-73.93616
M,Manhattan,10/23/2014,11/12/2016,40.813385,-73.93616
